id,focus,signal,slack,drag,confidence,score,lane
l001,move ordering,35,33,6,25,162,watch
l002,search width,35,34,6,55,224,ship
l003,endgame risk,35,35,6,85,286,ship
l004,position pressure,35,36,18,25,120,hold
l005,move ordering,35,37,18,55,182,ship
l006,search width,35,38,18,85,244,ship
l007,endgame risk,35,39,34,25,62,hold
l008,position pressure,35,40,34,55,124,watch
l009,move ordering,35,41,34,85,186,ship
l010,search width,60,42,6,25,230,ship
l011,endgame risk,60,43,6,55,292,ship
l012,position pressure,60,44,6,85,354,ship
l013,move ordering,60,45,18,25,188,ship
l014,search width,60,46,18,55,250,ship
l015,endgame risk,60,47,18,85,312,ship
l016,position pressure,60,48,34,25,130,watch
l017,move ordering,60,32,34,55,158,watch
l018,search width,60,33,34,85,220,ship
l019,endgame risk,85,34,6,25,264,ship
l020,position pressure,85,35,6,55,326,ship
l021,move ordering,85,36,6,85,388,ship
l022,search width,85,37,18,25,222,ship
l023,endgame risk,85,38,18,55,284,ship
l024,position pressure,85,39,18,85,346,ship
l025,move ordering,85,40,34,25,164,watch
l026,search width,85,41,34,55,226,ship
l027,endgame risk,85,42,34,85,288,ship
